country1,country2,dist_squared
afg,afg,92270.1376
afg,ago,57878620.84
afg,aia,151097197.4656
afg,alb,18854006.0944
afg,and,33713816.4496
afg,ant,174722397.4276
afg,are,3289217.5044
afg,arg,234044102.25
afg,arm,5135435.8225
afg,atg,151218422.4681
afg,aus,130724693.5801
afg,aut,20867537.61
afg,aze,3320485.7284
afg,bdi,35165611.6036
afg,bel,29334355.8544
afg,ben,55965510.6201
afg,bfa,56214005.76
afg,bgd,5650033.9204
afg,bgr,16345929.8601
afg,bhr,4017739.6249
afg,bhs,156714845.2164
afg,bih,19612586.5321
afg,blr,15061384.81
afg,blz,191070352.7524
afg,bmu,124940083.0756
afg,bol,235620965.0025
afg,bra,189661373.4976
afg,brb,155389936.8025
afg,brn,32960688.4996
afg,btn,4424712.25
afg,bwa,64380885.0129
afg,caf,38295180.6561
afg,can,115968991.8321
afg,cck,35909696.7009
afg,che,27531428.7616
afg,chl,267450045.21
afg,chn,17476078.5936
afg,civ,66334834.9444
afg,cmr,46814606.0944
afg,cog,50418236.3364
afg,cok,226340290.0521
afg,col,204166661.9161
afg,com,33923751.8481
afg,cpv,86947792.1764
afg,cri,205479897.0849
afg,cub,167764665.76
afg,cxr,39842227.6849
afg,cym,176446058.89
afg,cyp,10614368.5209
afg,cze,22165452.3204
afg,deu,27316406.7801
afg,dji,13455104.3344
afg,dma,154176177.2329
afg,dnk,23597152.1361
afg,dom,161525798.1184
afg,dza,34418638.2276
afg,ecu,223520440.36
afg,egy,12847349.8624
afg,eri,13736585.5641
afg,esh,59237805.4921
afg,esp,39570264.4401
afg,est,17968442.7664
afg,eth,17608178.3641
afg,fin,18103237.9441
afg,fji,165903416.1225
afg,flk,238639468.1616
afg,fra,31252348.5444
afg,fro,35520169.6144
afg,fsm,90149328.09
afg,gab,52761192.4161
afg,gbr,32696438.8864
afg,geo,5157395.5801
afg,gha,60629270.7904
afg,gib,43475560.96
afg,gin,80199905.5936
afg,gmb,77408675.1684
afg,gnb,77528201.1001
afg,gnq,50253921
afg,grc,16471178.7409
afg,grd,161470898.6944
afg,grl,62437969.1329
afg,gtm,200438204.0644
afg,guy,165127640.04
afg,hkg,20854018.2244
afg,hnd,198190647.1204
afg,hrv,21235507.24
afg,hti,165405321
afg,hun,19076715.9361
afg,idn,36009480.6241
afg,ind,1007795.1321
afg,irl,37038543.9649
afg,irn,2627089.8889
afg,irq,5222824.6225
afg,isl,44336421.2736
afg,isr,10234816.6561
afg,ita,24363997.2801
afg,jam,173534779.0276
afg,jor,9586640.2129
afg,jpn,39413535.1204
afg,kaz,1392801.2289
afg,ken,27264897.6964
afg,kgz,1089330.5641
afg,khm,19546832.5924
afg,kir,125503848.1225
afg,kna,152436803.0409
afg,kor,26336294.9721
afg,kwt,4324528.2025
afg,lao,14325619.4064
afg,lbn,9541117.8769
afg,lbr,75674688.7744
afg,lby,26348920.9344
afg,lca,156070801.4089
afg,lka,10634512.3236
afg,lso,69679587.6049
afg,ltu,16344474.4089
afg,lux,28136022.8356
afg,lva,17524856.5129
afg,mac,20363288.0049
afg,mar,46397077.1716
afg,mda,13154911.3809
afg,mdg,40578683.6196
afg,mdv,11604651.0336
afg,mex,193378782.8449
afg,mhl,113468725.7089
afg,mkd,17626058.7556
afg,mli,64908964.6921
afg,mlt,24078452.7204
afg,mmr,11090298.6441
afg,mng,11858036.6025
afg,mnp,61600051.0449
afg,moz,60227843.6356
afg,mrt,71487701.4016
afg,msr,152776027.2676
afg,mus,38575775.6836
afg,mwi,43110123.5889
afg,mys,23486817.5424
afg,nam,70660836
afg,ncl,144798383.5684
afg,ner,50160248.1121
afg,nfk,157168094.6889
afg,nga,54636933.2224
afg,nic,202651737.9364
afg,niu,195937005.0625
afg,nld,28744609.96
afg,nor,25146213.16
afg,npl,2924339.4049
afg,nru,115728754.7529
afg,nzl,189392644
afg,omn,2521553.4436
afg,pak,140362.6225
afg,pan,201044608.1604
afg,pcn,320424320.16
afg,per,249993729.2161
afg,phl,31560238.6225
afg,plw,53212939.8784
afg,png,90782974.5601
afg,pol,18215653.2804
afg,prk,24891118.81
afg,prt,46122298.9956
afg,pry,220895392.5025
afg,pyf,248251220.8801
afg,qat,3951825.9264
afg,rus,11340258.3009
afg,rwa,33122557.2484
afg,sau,5882759.1936
afg,sdn,17833053.3264
afg,sen,77432608.1764
afg,sgp,26603829.2521
afg,shn,93923815.4449
afg,slb,114068594.4841
afg,sle,77362051.6249
afg,slv,201738275.9716
afg,smr,24024702.25
afg,som,19185976.8324
afg,spm,89775056.5009
afg,stp,56443966.9264
afg,sur,160777581.6361
afg,svk,20329006.9129
afg,svn,22273019.5249
afg,swe,21134063.9524
afg,swz,61971060.5089
afg,syc,21062408.7844
afg,syr,9136110.76
afg,tca,156815761.2121
afg,tcd,35875308.16
afg,tgo,57787819.3489
afg,tha,15236609.6281
afg,tjk,210910.5625
afg,tkl,174628296.09
afg,tkm,1087285.8529
afg,ton,185640625
afg,tto,164019249
afg,tun,27590016.8644
afg,tur,12827930.1921
afg,tuv,153320362.7076
afg,tza,31078172.0484
afg,uga,28953546.7225
afg,ukr,12820911.1969
afg,ury,228029630.4225
afg,usa,117676500.4944
afg,uzb,564406.6129
afg,vct,158201555.9524
afg,ven,174466321.4449
afg,vgb,153209932.84
afg,vnm,15086232.81
afg,vut,142539243.4404
afg,wlf,171478501.2004
afg,wsm,144490977.7936
afg,yem,10757612.8144
afg,zaf,85990939.9969
afg,zmb,49685017.5376
afg,zwe,50242437.4761
ago,ago,176374.8009
ago,aia,79235990.1316
ago,alb,31627463.8689
ago,and,34071619.6681
ago,ant,88044254.5761
ago,are,33701043.6676
ago,arg,60715731.5209
ago,arm,40085992.8225
ago,atg,76509484.1809
ago,aus,183012195.24
ago,aut,40411703.2804
ago,aze,44132770.5625
ago,bdi,3529062.8164
ago,bel,44839496.2129
ago,ben,4292520.9856
ago,bfa,8272181.2996
ago,bgd,83194465.21
ago,bgr,33898595.0625
ago,bhr,31533503.3209
ago,bhs,110052898.1721
ago,bih,34677847.6641
ago,blr,50476477.9024
ago,blz,134070925.21
ago,bmu,89048287.1716
ago,bol,77972961.8529
ago,bra,43033206.4009
ago,brb,70795564.2801
ago,brn,129653065.4409
ago,btn,83953971.7696
ago,bwa,4944308.0164
ago,caf,2518505.5204
ago,can,118917716.4036
ago,cck,83073016.5136
ago,che,38880088.4521
ago,chl,79461178.81
ago,chn,138521365.6401
ago,civ,6151094.4196
ago,cmr,2029741.5961
ago,cog,310193.3025
ago,cok,275729013.9081
ago,col,98238228.7104
ago,com,10896733.0404
ago,cpv,23425309.6009
ago,cri,120575772.49
ago,cub,120500017.5625
ago,cxr,102143363.56
ago,cym,117140359.4596
ago,cyp,28430543.9209
ago,cze,43036748.8576
ago,deu,45405360.7225
ago,dji,16121670.4324
ago,dma,74897600.8356
ago,dnk,51538902.4836
ago,dom,92208966.5025
ago,dza,26980129.1776
ago,ecu,104150189.16
ago,egy,22438695.3025
ago,eri,15225213.8025
ago,esh,24183084.8169
ago,esp,33088380.0625
ago,est,58757130.7024
ago,eth,12003245.2849
ago,fin,60004079.2129
ago,fji,276174874.6201
ago,flk,63158782.5625
ago,fra,42384266.5024
ago,fro,65184308.7424
ago,fsm,261487980.9481
ago,gab,1232921.5369
ago,gbr,46752637.0081
ago,geo,42026695.84
ago,gha,4806573.9121
ago,gib,28843344.36
